2020-02-23 09:49:26.683070	开始加载历史数据
2020-02-23 09:49:35.988184	策略初始化完成
2020-02-23 09:49:35.988184	开始回放历史数据
2020-02-23 09:49:37.268265	历史数据回放结束
2020-02-23 09:49:37.268265	开始计算逐日盯市盈亏
2020-02-23 09:49:37.273252	逐日盯市盈亏计算完成
2020-02-23 09:49:37.273252	开始计算策略统计指标
2020-02-23 09:49:37.408889	------------------------------
2020-02-23 09:49:37.408889	首个交易日：	2016-02-02
2020-02-23 09:49:37.408889	最后交易日：	2019-12-31
2020-02-23 09:49:37.408889	总交易日：	954
2020-02-23 09:49:37.408889	盈利交易日：	428
2020-02-23 09:49:37.408889	亏损交易日：	488
2020-02-23 09:49:37.408889	起始资金：	1,000,000.00
2020-02-23 09:49:37.409886	结束资金：	713,081.03
2020-02-23 09:49:37.409886	总收益率：	-28.69%
2020-02-23 09:49:37.409886	年化收益：	-7.22%
2020-02-23 09:49:37.409886	最大回撤: 	-844,985.04
2020-02-23 09:49:37.409886	百分比最大回撤: -54.98%
2020-02-23 09:49:37.409886	最长回撤天数: 	1104
2020-02-23 09:49:37.409886	总盈亏：	-286,918.97
2020-02-23 09:49:37.409886	总手续费：	19,668.97
2020-02-23 09:49:37.409886	总滑点：	74,750.00
2020-02-23 09:49:37.409886	总成交金额：	655,632,500.00
2020-02-23 09:49:37.409886	总成交笔数：	299
2020-02-23 09:49:37.409886	日均盈亏：	-300.75
2020-02-23 09:49:37.409886	日均手续费：	20.62
2020-02-23 09:49:37.409886	日均滑点：	78.35
2020-02-23 09:49:37.409886	日均成交金额：	687,245.81
2020-02-23 09:49:37.409886	日均成交笔数：	0.31341719077568136
2020-02-23 09:49:37.409886	日均收益率：	-0.03%
2020-02-23 09:49:37.409886	收益标准差：	1.69%
2020-02-23 09:49:37.409886	Sharpe Ratio：	-0.32
2020-02-23 09:49:37.409886	收益回撤比：	-0.52
