2020-02-23 20:17:20.208068	------------------------------
2020-02-23 20:17:20.208068	首个交易日：	2016-02-02
2020-02-23 20:17:20.208068	最后交易日：	2019-12-31
2020-02-23 20:17:20.208068	总交易日：	954
2020-02-23 20:17:20.208068	盈利交易日：	169
2020-02-23 20:17:20.208068	亏损交易日：	184
2020-02-23 20:17:20.208068	起始资金：	1,000,000.00
2020-02-23 20:17:20.208068	结束资金：	1,635,844.93
2020-02-23 20:17:20.208068	总收益率：	63.58%
2020-02-23 20:17:20.208068	年化收益：	16.00%
2020-02-23 20:17:20.208068	最大回撤: 	-137,793.45
2020-02-23 20:17:20.208068	百分比最大回撤: -9.72%
2020-02-23 20:17:20.208068	最长回撤天数: 	164
2020-02-23 20:17:20.208068	总盈亏：	635,844.93
2020-02-23 20:17:20.208068	总手续费：	7,155.07
2020-02-23 20:17:20.208068	总滑点：	27,000.00
2020-02-23 20:17:20.208068	总成交金额：	238,502,500.00
2020-02-23 20:17:20.208068	总成交笔数：	108
2020-02-23 20:17:20.208068	日均盈亏：	666.50
2020-02-23 20:17:20.208068	日均手续费：	7.50
2020-02-23 20:17:20.208068	日均滑点：	28.30
2020-02-23 20:17:20.208068	日均成交金额：	250,002.62
2020-02-23 20:17:20.208068	日均成交笔数：	0.11320754716981132
2020-02-23 20:17:20.209066	日均收益率：	0.05%
2020-02-23 20:17:20.209066	收益标准差：	0.78%
2020-02-23 20:17:20.209066	Sharpe Ratio：	1.02
2020-02-23 20:17:20.209066	收益回撤比：	6.54
