2020-02-23 13:07:05.121268	开始加载历史数据
2020-02-23 13:07:14.697684	策略初始化完成
2020-02-23 13:07:14.697684	开始回放历史数据
2020-02-23 13:07:16.004199	历史数据回放结束
2020-02-23 13:07:16.004199	开始计算逐日盯市盈亏
2020-02-23 13:07:16.010184	逐日盯市盈亏计算完成
2020-02-23 13:07:16.011180	开始计算策略统计指标
2020-02-23 13:07:16.027138	------------------------------
2020-02-23 13:07:16.027138	首个交易日：	2016-02-02
2020-02-23 13:07:16.027138	最后交易日：	2019-12-31
2020-02-23 13:07:16.027138	总交易日：	954
2020-02-23 13:07:16.027138	盈利交易日：	440
2020-02-23 13:07:16.027138	亏损交易日：	474
2020-02-23 13:07:16.027138	起始资金：	1,000,000.00
2020-02-23 13:07:16.027138	结束资金：	1,047,556.40
2020-02-23 13:07:16.027138	总收益率：	4.76%
2020-02-23 13:07:16.027138	年化收益：	1.20%
2020-02-23 13:07:16.027138	最大回撤: 	-501,174.45
2020-02-23 13:07:16.027138	百分比最大回撤: -33.72%
2020-02-23 13:07:16.027138	最长回撤天数: 	304
2020-02-23 13:07:16.027138	总盈亏：	47,556.40
2020-02-23 13:07:16.027138	总手续费：	18,693.60
2020-02-23 13:07:16.027138	总滑点：	71,250.00
2020-02-23 13:07:16.027138	总成交金额：	623,120,000.00
2020-02-23 13:07:16.027138	总成交笔数：	285
2020-02-23 13:07:16.027138	日均盈亏：	49.85
2020-02-23 13:07:16.027138	日均手续费：	19.59
2020-02-23 13:07:16.027138	日均滑点：	74.69
2020-02-23 13:07:16.027138	日均成交金额：	653,165.62
2020-02-23 13:07:16.027138	日均成交笔数：	0.29874213836477986
2020-02-23 13:07:16.027138	日均收益率：	0.01%
2020-02-23 13:07:16.027138	收益标准差：	1.53%
2020-02-23 13:07:16.027138	Sharpe Ratio：	0.05
2020-02-23 13:07:16.027138	收益回撤比：	0.14
