2020-02-23 16:24:42.642140	------------------------------
2020-02-23 16:24:42.642165	首个交易日：	2016-02-02
2020-02-23 16:24:42.642165	最后交易日：	2019-12-31
2020-02-23 16:24:42.642165	总交易日：	954
2020-02-23 16:24:42.642165	盈利交易日：	384
2020-02-23 16:24:42.642165	亏损交易日：	565
2020-02-23 16:24:42.642165	起始资金：	1,000,000.00
2020-02-23 16:24:42.642165	结束资金：	-1,534,856.66
2020-02-23 16:24:42.642165	总收益率：	-253.49%
2020-02-23 16:24:42.642165	年化收益：	-63.77%
2020-02-23 16:24:42.642165	最大回撤: 	-2,592,704.23
2020-02-23 16:24:42.642165	百分比最大回撤: -255.99%
2020-02-23 16:24:42.642165	最长回撤天数: 	1393
2020-02-23 16:24:42.642165	总盈亏：	-2,534,856.66
2020-02-23 16:24:42.642165	总手续费：	222,356.66
2020-02-23 16:24:42.642165	总滑点：	848,750.00
2020-02-23 16:24:42.642165	总成交金额：	7,411,888,750.00
2020-02-23 16:24:42.642165	总成交笔数：	3395
2020-02-23 16:24:42.642165	日均盈亏：	-2,657.08
2020-02-23 16:24:42.642165	日均手续费：	233.08
2020-02-23 16:24:42.642165	日均滑点：	889.68
2020-02-23 16:24:42.642165	日均成交金额：	7,769,275.42
2020-02-23 16:24:42.642165	日均成交笔数：	3.558700209643606
2020-02-23 16:24:42.642165	日均收益率：	0.65%
2020-02-23 16:24:42.642165	收益标准差：	35.81%
2020-02-23 16:24:42.642165	Sharpe Ratio：	0.28
2020-02-23 16:24:42.642165	收益回撤比：	-0.99
