2020-02-23 17:53:16.796349	------------------------------
2020-02-23 17:53:16.796349	首个交易日：	2016-02-02
2020-02-23 17:53:16.796349	最后交易日：	2019-12-31
2020-02-23 17:53:16.796349	总交易日：	954
2020-02-23 17:53:16.796349	盈利交易日：	151
2020-02-23 17:53:16.796349	亏损交易日：	181
2020-02-23 17:53:16.796349	起始资金：	1,000,000.00
2020-02-23 17:53:16.796349	结束资金：	1,229,248.89
2020-02-23 17:53:16.796349	总收益率：	22.92%
2020-02-23 17:53:16.796349	年化收益：	5.77%
2020-02-23 17:53:16.796349	最大回撤: 	-235,987.85
2020-02-23 17:53:16.796349	百分比最大回撤: -16.11%
2020-02-23 17:53:16.796349	最长回撤天数: 	426
2020-02-23 17:53:16.796349	总盈亏：	229,248.89
2020-02-23 17:53:16.796349	总手续费：	7,251.11
2020-02-23 17:53:16.796349	总滑点：	27,250.00
2020-02-23 17:53:16.796349	总成交金额：	241,703,750.00
2020-02-23 17:53:16.796349	总成交笔数：	109
2020-02-23 17:53:16.796349	日均盈亏：	240.30
2020-02-23 17:53:16.796349	日均手续费：	7.60
2020-02-23 17:53:16.796349	日均滑点：	28.56
2020-02-23 17:53:16.796349	日均成交金额：	253,358.23
2020-02-23 17:53:16.796349	日均成交笔数：	0.11425576519916142
2020-02-23 17:53:16.796349	日均收益率：	0.02%
2020-02-23 17:53:16.796349	收益标准差：	0.79%
2020-02-23 17:53:16.796349	Sharpe Ratio：	0.43
2020-02-23 17:53:16.796349	收益回撤比：	1.42
