2020-02-23 17:48:36.039662	------------------------------
2020-02-23 17:48:36.039662	首个交易日：	2016-02-02
2020-02-23 17:48:36.039662	最后交易日：	2019-12-31
2020-02-23 17:48:36.039662	总交易日：	954
2020-02-23 17:48:36.039662	盈利交易日：	4
2020-02-23 17:48:36.039662	亏损交易日：	5
2020-02-23 17:48:36.039662	起始资金：	1,000,000.00
2020-02-23 17:48:36.039662	结束资金：	1,003,719.50
2020-02-23 17:48:36.039662	总收益率：	0.37%
2020-02-23 17:48:36.039662	年化收益：	0.09%
2020-02-23 17:48:36.039662	最大回撤: 	-33,459.59
2020-02-23 17:48:36.039662	百分比最大回撤: -3.23%
2020-02-23 17:48:36.039662	最长回撤天数: 	141
2020-02-23 17:48:36.039662	总盈亏：	3,719.50
2020-02-23 17:48:36.039662	总手续费：	280.50
2020-02-23 17:48:36.039662	总滑点：	1,000.00
2020-02-23 17:48:36.039662	总成交金额：	9,350,000.00
2020-02-23 17:48:36.039662	总成交笔数：	4
2020-02-23 17:48:36.039662	日均盈亏：	3.90
2020-02-23 17:48:36.039662	日均手续费：	0.29
2020-02-23 17:48:36.039662	日均滑点：	1.05
2020-02-23 17:48:36.040659	日均成交金额：	9,800.84
2020-02-23 17:48:36.040659	日均成交笔数：	0.0041928721174004195
2020-02-23 17:48:36.040659	日均收益率：	0.00%
2020-02-23 17:48:36.040659	收益标准差：	0.11%
2020-02-23 17:48:36.040659	Sharpe Ratio：	0.05
2020-02-23 17:48:36.040659	收益回撤比：	0.12
