2020-02-23 15:19:46.506376	------------------------------
2020-02-23 15:19:46.506376	首个交易日：	2016-02-02
2020-02-23 15:19:46.506376	最后交易日：	2019-12-31
2020-02-23 15:19:46.506376	总交易日：	954
2020-02-23 15:19:46.506376	盈利交易日：	121
2020-02-23 15:19:46.506376	亏损交易日：	237
2020-02-23 15:19:46.506376	起始资金：	1,000,000.00
2020-02-23 15:19:46.506376	结束资金：	954,920.74
2020-02-23 15:19:46.506376	总收益率：	-4.51%
2020-02-23 15:19:46.506376	年化收益：	-1.13%
2020-02-23 15:19:46.506376	最大回撤: 	-266,454.84
2020-02-23 15:19:46.506376	百分比最大回撤: -21.96%
2020-02-23 15:19:46.506376	最长回撤天数: 	919
2020-02-23 15:19:46.506376	总盈亏：	-45,079.26
2020-02-23 15:19:46.506376	总手续费：	34,329.26
2020-02-23 15:19:46.506376	总滑点：	129,500.00
2020-02-23 15:19:46.506376	总成交金额：	1,144,308,750.00
2020-02-23 15:19:46.506376	总成交笔数：	518
2020-02-23 15:19:46.506376	日均盈亏：	-47.25
2020-02-23 15:19:46.506376	日均手续费：	35.98
2020-02-23 15:19:46.506376	日均滑点：	135.74
2020-02-23 15:19:46.506376	日均成交金额：	1,199,485.06
2020-02-23 15:19:46.506376	日均成交笔数：	0.5429769392033543
2020-02-23 15:19:46.506376	日均收益率：	-0.00%
2020-02-23 15:19:46.506376	收益标准差：	0.59%
2020-02-23 15:19:46.506376	Sharpe Ratio：	-0.13
2020-02-23 15:19:46.506376	收益回撤比：	-0.21
