2020-02-24 20:09:30.939692	------------------------------
2020-02-24 20:09:30.939692	首个交易日：	2016-02-02
2020-02-24 20:09:30.939692	最后交易日：	2019-12-31
2020-02-24 20:09:30.939692	总交易日：	954
2020-02-24 20:09:30.939692	盈利交易日：	455
2020-02-24 20:09:30.939692	亏损交易日：	460
2020-02-24 20:09:30.939692	起始资金：	1,000,000.00
2020-02-24 20:09:30.939692	结束资金：	1,785,609.35
2020-02-24 20:09:30.939692	总收益率：	78.56%
2020-02-24 20:09:30.939692	年化收益：	19.76%
2020-02-24 20:09:30.939692	最大回撤: 	-437,422.74
2020-02-24 20:09:30.939692	百分比最大回撤: -25.60%
2020-02-24 20:09:30.939692	最长回撤天数: 	334
2020-02-24 20:09:30.939692	总盈亏：	785,609.35
2020-02-24 20:09:30.939692	总手续费：	20,140.65
2020-02-24 20:09:30.939692	总滑点：	76,750.00
2020-02-24 20:09:30.939692	总成交金额：	671,355,000.00
2020-02-24 20:09:30.939692	总成交笔数：	307
2020-02-24 20:09:30.939692	日均盈亏：	823.49
2020-02-24 20:09:30.939692	日均手续费：	21.11
2020-02-24 20:09:30.939692	日均滑点：	80.45
2020-02-24 20:09:30.939692	日均成交金额：	703,726.42
2020-02-24 20:09:30.939692	日均成交笔数：	0.3218029350104822
2020-02-24 20:09:30.939692	日均收益率：	0.06%
2020-02-24 20:09:30.939692	收益标准差：	1.28%
2020-02-24 20:09:30.939692	Sharpe Ratio：	0.73
2020-02-24 20:09:30.939692	收益回撤比：	3.07
