2020-02-23 18:03:05.961523	------------------------------
2020-02-23 18:03:05.961523	首个交易日：	2016-02-02
2020-02-23 18:03:05.961523	最后交易日：	2019-12-31
2020-02-23 18:03:05.961523	总交易日：	954
2020-02-23 18:03:05.961523	盈利交易日：	151
2020-02-23 18:03:05.961523	亏损交易日：	181
2020-02-23 18:03:05.961523	起始资金：	1,000,000.00
2020-02-23 18:03:05.961523	结束资金：	1,229,248.89
2020-02-23 18:03:05.961523	总收益率：	22.92%
2020-02-23 18:03:05.961523	年化收益：	5.77%
2020-02-23 18:03:05.961523	最大回撤: 	-235,987.85
2020-02-23 18:03:05.961523	百分比最大回撤: -16.11%
2020-02-23 18:03:05.961523	最长回撤天数: 	426
2020-02-23 18:03:05.961523	总盈亏：	229,248.89
2020-02-23 18:03:05.961523	总手续费：	7,251.11
2020-02-23 18:03:05.961523	总滑点：	27,250.00
2020-02-23 18:03:05.961523	总成交金额：	241,703,750.00
2020-02-23 18:03:05.961523	总成交笔数：	109
2020-02-23 18:03:05.961523	日均盈亏：	240.30
2020-02-23 18:03:05.961523	日均手续费：	7.60
2020-02-23 18:03:05.961523	日均滑点：	28.56
2020-02-23 18:03:05.961523	日均成交金额：	253,358.23
2020-02-23 18:03:05.961523	日均成交笔数：	0.11425576519916142
2020-02-23 18:03:05.961523	日均收益率：	0.02%
2020-02-23 18:03:05.961523	收益标准差：	0.79%
2020-02-23 18:03:05.961523	Sharpe Ratio：	0.43
2020-02-23 18:03:05.961523	收益回撤比：	1.42
2020-02-23 18:03:09.848810	优化参数组合数:45
2020-02-23 18:03:31.785461	参数：{'boll_window': 4, 'boll_dev': 1.0, 'atr_window': 31, 'rsi_f_window': 10, 'rsi_l_window': 18, 'grow_window': 9, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：633344.85
2020-02-23 18:03:31.785461	参数：{'boll_window': 4, 'boll_dev': 1.0, 'atr_window': 31, 'rsi_f_window': 10, 'rsi_l_window': 16, 'grow_window': 9, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：633344.85
2020-02-23 18:03:31.785461	参数：{'boll_window': 4, 'boll_dev': 1.0, 'atr_window': 31, 'rsi_f_window': 10, 'rsi_l_window': 20, 'grow_window': 9, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：633344.85
2020-02-23 18:03:31.785461	参数：{'boll_window': 4, 'boll_dev': 1.0, 'atr_window': 31, 'rsi_f_window': 10, 'rsi_l_window': 22, 'grow_window': 9, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：633344.85
2020-02-23 18:03:31.785461	参数：{'boll_window': 4, 'boll_dev': 1.0, 'atr_window': 31, 'rsi_f_window': 10, 'rsi_l_window': 24, 'grow_window': 9, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：633344.85
2020-02-23 18:03:31.785461	参数：{'boll_window': 6, 'boll_dev': 1.0, 'atr_window': 31, 'rsi_f_window': 10, 'rsi_l_window': 16, 'grow_window': 9, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：586148.6875
2020-02-23 18:03:31.785461	参数：{'boll_window': 6, 'boll_dev': 1.0, 'atr_window': 31, 'rsi_f_window': 10, 'rsi_l_window': 20, 'grow_window': 9, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：586148.6875
2020-02-23 18:03:31.785461	参数：{'boll_window': 6, 'boll_dev': 1.0, 'atr_window': 31, 'rsi_f_window': 10, 'rsi_l_window': 18, 'grow_window': 9, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：586148.6875
2020-02-23 18:03:31.785461	参数：{'boll_window': 6, 'boll_dev': 1.0, 'atr_window': 31, 'rsi_f_window': 10, 'rsi_l_window': 22, 'grow_window': 9, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：586148.6875
2020-02-23 18:03:31.785461	参数：{'boll_window': 6, 'boll_dev': 1.0, 'atr_window': 31, 'rsi_f_window': 10, 'rsi_l_window': 24, 'grow_window': 9, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：586148.6875
2020-02-23 18:03:31.785461	参数：{'boll_window': 5, 'boll_dev': 1.0, 'atr_window': 31, 'rsi_f_window': 10, 'rsi_l_window': 16, 'grow_window': 9, 'reduce_window': 10, 'sl_multiplier': 7.5, 'fixed_size': 5}, 目标：583648.6125
