2020-02-23 21:38:25.467945	------------------------------
2020-02-23 21:38:25.467945	首个交易日：	2016-02-02
2020-02-23 21:38:25.467945	最后交易日：	2019-12-31
2020-02-23 21:38:25.467945	总交易日：	954
2020-02-23 21:38:25.467945	盈利交易日：	218
2020-02-23 21:38:25.467945	亏损交易日：	236
2020-02-23 21:38:25.467945	起始资金：	1,000,000.00
2020-02-23 21:38:25.467945	结束资金：	1,087,335.02
2020-02-23 21:38:25.467945	总收益率：	8.73%
2020-02-23 21:38:25.467945	年化收益：	2.20%
2020-02-23 21:38:25.467945	最大回撤: 	-379,186.89
2020-02-23 21:38:25.468943	百分比最大回撤: -25.86%
2020-02-23 21:38:25.468943	最长回撤天数: 	371
2020-02-23 21:38:25.468943	总盈亏：	87,335.03
2020-02-23 21:38:25.468943	总手续费：	9,414.97
2020-02-23 21:38:25.468943	总滑点：	35,750.00
2020-02-23 21:38:25.468943	总成交金额：	313,832,500.00
2020-02-23 21:38:25.468943	总成交笔数：	143
2020-02-23 21:38:25.468943	日均盈亏：	91.55
2020-02-23 21:38:25.468943	日均手续费：	9.87
2020-02-23 21:38:25.468943	日均滑点：	37.47
2020-02-23 21:38:25.468943	日均成交金额：	328,964.88
2020-02-23 21:38:25.468943	日均成交笔数：	0.149895178197065
2020-02-23 21:38:25.468943	日均收益率：	0.01%
2020-02-23 21:38:25.468943	收益标准差：	1.00%
2020-02-23 21:38:25.468943	Sharpe Ratio：	0.14
2020-02-23 21:38:25.468943	收益回撤比：	0.34
