2020-02-23 15:18:40.495571	------------------------------
2020-02-23 15:18:40.495571	首个交易日：	2016-02-02
2020-02-23 15:18:40.495571	最后交易日：	2019-12-31
2020-02-23 15:18:40.495571	总交易日：	954
2020-02-23 15:18:40.495571	盈利交易日：	327
2020-02-23 15:18:40.495571	亏损交易日：	371
2020-02-23 15:18:40.495571	起始资金：	1,000,000.00
2020-02-23 15:18:40.495571	结束资金：	1,637,818.46
2020-02-23 15:18:40.495571	总收益率：	63.78%
2020-02-23 15:18:40.495571	年化收益：	16.05%
2020-02-23 15:18:40.495571	最大回撤: 	-256,630.57
2020-02-23 15:18:40.495571	百分比最大回撤: -13.93%
2020-02-23 15:18:40.495571	最长回撤天数: 	246
2020-02-23 15:18:40.495571	总盈亏：	637,818.46
2020-02-23 15:18:40.495571	总手续费：	12,181.54
2020-02-23 15:18:40.495571	总滑点：	46,250.00
2020-02-23 15:18:40.495571	总成交金额：	406,051,250.00
2020-02-23 15:18:40.495571	总成交笔数：	185
2020-02-23 15:18:40.495571	日均盈亏：	668.57
2020-02-23 15:18:40.495571	日均手续费：	12.77
2020-02-23 15:18:40.495571	日均滑点：	48.48
2020-02-23 15:18:40.495571	日均成交金额：	425,630.24
2020-02-23 15:18:40.495571	日均成交笔数：	0.19392033542976939
2020-02-23 15:18:40.495571	日均收益率：	0.05%
2020-02-23 15:18:40.495571	收益标准差：	1.03%
2020-02-23 15:18:40.495571	Sharpe Ratio：	0.78
2020-02-23 15:18:40.495571	收益回撤比：	4.58
