2020-02-18 20:57:55.857858	开始加载历史数据
2020-02-18 20:58:05.267696	策略初始化完成
2020-02-18 20:58:05.267696	开始回放历史数据
2020-02-18 20:58:08.557921	历史数据回放结束
2020-02-18 20:58:08.557921	开始计算逐日盯市盈亏
2020-02-18 20:58:08.567894	逐日盯市盈亏计算完成
2020-02-18 20:58:08.567894	开始计算策略统计指标
2020-02-18 20:58:08.624742	------------------------------
2020-02-18 20:58:08.624742	首个交易日：	2017-01-17
2020-02-18 20:58:08.624742	最后交易日：	2019-12-31
2020-02-18 20:58:08.624742	总交易日：	721
2020-02-18 20:58:08.624742	盈利交易日：	169
2020-02-18 20:58:08.624742	亏损交易日：	342
2020-02-18 20:58:08.624742	起始资金：	1,000,000.00
2020-02-18 20:58:08.624742	结束资金：	713,755.96
2020-02-18 20:58:08.624742	总收益率：	-28.62%
2020-02-18 20:58:08.624742	年化收益：	-9.53%
2020-02-18 20:58:08.624742	最大回撤: 	-291,050.85
2020-02-18 20:58:08.624742	百分比最大回撤: -29.03%
2020-02-18 20:58:08.624742	最长回撤天数: 	1064
2020-02-18 20:58:08.624742	总盈亏：	-286,244.04
2020-02-18 20:58:08.624742	总手续费：	17,994.04
2020-02-18 20:58:08.624742	总滑点：	67,500.00
2020-02-18 20:58:08.624742	总成交金额：	599,801,250.00
2020-02-18 20:58:08.624742	总成交笔数：	1054
2020-02-18 20:58:08.624742	日均盈亏：	-397.01
2020-02-18 20:58:08.624742	日均手续费：	24.96
2020-02-18 20:58:08.624742	日均滑点：	93.62
2020-02-18 20:58:08.624742	日均成交金额：	831,901.87
2020-02-18 20:58:08.624742	日均成交笔数：	1.4618585298196949
2020-02-18 20:58:08.624742	日均收益率：	-0.05%
2020-02-18 20:58:08.624742	收益标准差：	0.28%
2020-02-18 20:58:08.624742	Sharpe Ratio：	-2.55
2020-02-18 20:58:08.624742	收益回撤比：	-0.99
