2020-02-23 17:51:58.995594	------------------------------
2020-02-23 17:51:58.995594	首个交易日：	2016-02-02
2020-02-23 17:51:58.995594	最后交易日：	2019-12-31
2020-02-23 17:51:58.995594	总交易日：	954
2020-02-23 17:51:58.995594	盈利交易日：	392
2020-02-23 17:51:58.995594	亏损交易日：	449
2020-02-23 17:51:58.995594	起始资金：	1,000,000.00
2020-02-23 17:51:58.995594	结束资金：	980,919.26
2020-02-23 17:51:58.995594	总收益率：	-1.91%
2020-02-23 17:51:58.995594	年化收益：	-0.48%
2020-02-23 17:51:58.995594	最大回撤: 	-733,549.06
2020-02-23 17:51:58.995594	百分比最大回撤: -43.29%
2020-02-23 17:51:58.996591	最长回撤天数: 	1046
2020-02-23 17:51:58.996591	总盈亏：	-19,080.74
2020-02-23 17:51:58.996591	总手续费：	33,080.74
2020-02-23 17:51:58.996591	总滑点：	124,750.00
2020-02-23 17:51:58.996591	总成交金额：	1,102,691,250.00
2020-02-23 17:51:58.996591	总成交笔数：	499
2020-02-23 17:51:58.996591	日均盈亏：	-20.00
2020-02-23 17:51:58.996591	日均手续费：	34.68
2020-02-23 17:51:58.996591	日均滑点：	130.77
2020-02-23 17:51:58.996591	日均成交金额：	1,155,860.85
2020-02-23 17:51:58.996591	日均成交笔数：	0.5230607966457023
2020-02-23 17:51:58.996591	日均收益率：	-0.00%
2020-02-23 17:51:58.996591	收益标准差：	1.24%
2020-02-23 17:51:58.996591	Sharpe Ratio：	-0.03
2020-02-23 17:51:58.996591	收益回撤比：	-0.04
