2020-02-23 17:46:43.941813	------------------------------
2020-02-23 17:46:43.941813	首个交易日：	2016-02-02
2020-02-23 17:46:43.941813	最后交易日：	2019-12-31
2020-02-23 17:46:43.941813	总交易日：	954
2020-02-23 17:46:43.941813	盈利交易日：	16
2020-02-23 17:46:43.941813	亏损交易日：	22
2020-02-23 17:46:43.941813	起始资金：	1,000,000.00
2020-02-23 17:46:43.941813	结束资金：	1,084,947.02
2020-02-23 17:46:43.941813	总收益率：	8.49%
2020-02-23 17:46:43.941813	年化收益：	2.14%
2020-02-23 17:46:43.941813	最大回撤: 	-43,129.41
2020-02-23 17:46:43.941813	百分比最大回撤: -4.25%
2020-02-23 17:46:43.941813	最长回撤天数: 	379
2020-02-23 17:46:43.941813	总盈亏：	84,947.02
2020-02-23 17:46:43.941813	总手续费：	552.97
2020-02-23 17:46:43.941813	总滑点：	2,000.00
2020-02-23 17:46:43.941813	总成交金额：	18,432,500.00
2020-02-23 17:46:43.941813	总成交笔数：	8
2020-02-23 17:46:43.941813	日均盈亏：	89.04
2020-02-23 17:46:43.941813	日均手续费：	0.58
2020-02-23 17:46:43.941813	日均滑点：	2.10
2020-02-23 17:46:43.941813	日均成交金额：	19,321.28
2020-02-23 17:46:43.941813	日均成交笔数：	0.008385744234800839
2020-02-23 17:46:43.941813	日均收益率：	0.01%
2020-02-23 17:46:43.941813	收益标准差：	0.28%
2020-02-23 17:46:43.941813	Sharpe Ratio：	0.47
2020-02-23 17:46:43.941813	收益回撤比：	2.00
