2020-02-24 20:11:08.082728	------------------------------
2020-02-24 20:11:08.082728	首个交易日：	2016-02-02
2020-02-24 20:11:08.082728	最后交易日：	2019-12-31
2020-02-24 20:11:08.082728	总交易日：	954
2020-02-24 20:11:08.082728	盈利交易日：	454
2020-02-24 20:11:08.082728	亏损交易日：	461
2020-02-24 20:11:08.083725	起始资金：	1,000,000.00
2020-02-24 20:11:08.083725	结束资金：	1,729,981.77
2020-02-24 20:11:08.083725	总收益率：	73.00%
2020-02-24 20:11:08.083725	年化收益：	18.36%
2020-02-24 20:11:08.083725	最大回撤: 	-437,422.74
2020-02-24 20:11:08.083725	百分比最大回撤: -25.58%
2020-02-24 20:11:08.083725	最长回撤天数: 	334
2020-02-24 20:11:08.083725	总盈亏：	729,981.77
2020-02-24 20:11:08.083725	总手续费：	20,268.22
2020-02-24 20:11:08.083725	总滑点：	77,250.00
2020-02-24 20:11:08.083725	总成交金额：	675,607,500.00
2020-02-24 20:11:08.083725	总成交笔数：	309
2020-02-24 20:11:08.083725	日均盈亏：	765.18
2020-02-24 20:11:08.083725	日均手续费：	21.25
2020-02-24 20:11:08.083725	日均滑点：	80.97
2020-02-24 20:11:08.083725	日均成交金额：	708,183.96
2020-02-24 20:11:08.083725	日均成交笔数：	0.3238993710691824
2020-02-24 20:11:08.083725	日均收益率：	0.06%
2020-02-24 20:11:08.083725	收益标准差：	1.28%
2020-02-24 20:11:08.083725	Sharpe Ratio：	0.69
2020-02-24 20:11:08.083725	收益回撤比：	2.85
