2020-02-23 17:50:31.317500	------------------------------
2020-02-23 17:50:31.317500	首个交易日：	2016-02-02
2020-02-23 17:50:31.317500	最后交易日：	2019-12-31
2020-02-23 17:50:31.317500	总交易日：	954
2020-02-23 17:50:31.317500	盈利交易日：	0
2020-02-23 17:50:31.317500	亏损交易日：	1
2020-02-23 17:50:31.317500	起始资金：	1,000,000.00
2020-02-23 17:50:31.317500	结束资金：	999,381.57
2020-02-23 17:50:31.317500	总收益率：	-0.06%
2020-02-23 17:50:31.317500	年化收益：	-0.02%
2020-02-23 17:50:31.317500	最大回撤: 	-618.43
2020-02-23 17:50:31.317500	百分比最大回撤: -0.06%
2020-02-23 17:50:31.317500	最长回撤天数: 	79
2020-02-23 17:50:31.317500	总盈亏：	-618.42
2020-02-23 17:50:31.317500	总手续费：	118.42
2020-02-23 17:50:31.317500	总滑点：	500.00
2020-02-23 17:50:31.317500	总成交金额：	3,947,500.00
2020-02-23 17:50:31.317500	总成交笔数：	2
2020-02-23 17:50:31.317500	日均盈亏：	-0.65
2020-02-23 17:50:31.317500	日均手续费：	0.12
2020-02-23 17:50:31.317500	日均滑点：	0.52
2020-02-23 17:50:31.317500	日均成交金额：	4,137.84
2020-02-23 17:50:31.317500	日均成交笔数：	0.0020964360587002098
2020-02-23 17:50:31.317500	日均收益率：	-0.00%
2020-02-23 17:50:31.317500	收益标准差：	0.00%
2020-02-23 17:50:31.317500	Sharpe Ratio：	-0.50
2020-02-23 17:50:31.317500	收益回撤比：	-1.00
