2020-02-24 20:00:36.804562	------------------------------
2020-02-24 20:00:36.804562	首个交易日：	2016-02-02
2020-02-24 20:00:36.804562	最后交易日：	2019-12-31
2020-02-24 20:00:36.804562	总交易日：	954
2020-02-24 20:00:36.804562	盈利交易日：	233
2020-02-24 20:00:36.804562	亏损交易日：	248
2020-02-24 20:00:36.804562	起始资金：	1,000,000.00
2020-02-24 20:00:36.804562	结束资金：	1,699,825.00
2020-02-24 20:00:36.804562	总收益率：	69.98%
2020-02-24 20:00:36.804562	年化收益：	17.61%
2020-02-24 20:00:36.804562	最大回撤: 	-188,129.19
2020-02-24 20:00:36.804562	百分比最大回撤: -14.11%
2020-02-24 20:00:36.804562	最长回撤天数: 	234
2020-02-24 20:00:36.804562	总盈亏：	699,825.00
2020-02-24 20:00:36.804562	总手续费：	8,925.00
2020-02-24 20:00:36.804562	总滑点：	33,750.00
2020-02-24 20:00:36.804562	总成交金额：	297,500,000.00
2020-02-24 20:00:36.804562	总成交笔数：	135
2020-02-24 20:00:36.804562	日均盈亏：	733.57
2020-02-24 20:00:36.804562	日均手续费：	9.36
2020-02-24 20:00:36.804562	日均滑点：	35.38
2020-02-24 20:00:36.804562	日均成交金额：	311,844.86
2020-02-24 20:00:36.804562	日均成交笔数：	0.14150943396226415
2020-02-24 20:00:36.804562	日均收益率：	0.06%
2020-02-24 20:00:36.804562	收益标准差：	0.90%
2020-02-24 20:00:36.804562	Sharpe Ratio：	0.96
2020-02-24 20:00:36.804562	收益回撤比：	4.96
