2020-02-23 16:08:58.842108	------------------------------
2020-02-23 16:08:58.842108	首个交易日：	2016-01-19
2020-02-23 16:08:58.842108	最后交易日：	2019-12-31
2020-02-23 16:08:58.842108	总交易日：	964
2020-02-23 16:08:58.842108	盈利交易日：	458
2020-02-23 16:08:58.842108	亏损交易日：	473
2020-02-23 16:08:58.842108	起始资金：	1,000,000.00
2020-02-23 16:08:58.842108	结束资金：	967,980.60
2020-02-23 16:08:58.842108	总收益率：	-3.20%
2020-02-23 16:08:58.842108	年化收益：	-0.80%
2020-02-23 16:08:58.842108	最大回撤: 	-412,111.12
2020-02-23 16:08:58.842108	百分比最大回撤: -38.10%
2020-02-23 16:08:58.842108	最长回撤天数: 	105
2020-02-23 16:08:58.842108	总盈亏：	-32,019.40
2020-02-23 16:08:58.842108	总手续费：	67,769.40
2020-02-23 16:08:58.842108	总滑点：	271,750.00
2020-02-23 16:08:58.842108	总成交金额：	2,258,980,000.00
2020-02-23 16:08:58.842108	总成交笔数：	1087
2020-02-23 16:08:58.842108	日均盈亏：	-33.22
2020-02-23 16:08:58.842108	日均手续费：	70.30
2020-02-23 16:08:58.842108	日均滑点：	281.90
2020-02-23 16:08:58.842108	日均成交金额：	2,343,340.25
2020-02-23 16:08:58.842108	日均成交笔数：	1.1275933609958506
2020-02-23 16:08:58.843105	日均收益率：	-0.00%
2020-02-23 16:08:58.843105	收益标准差：	1.93%
2020-02-23 16:08:58.843105	Sharpe Ratio：	-0.03
2020-02-23 16:08:58.843105	收益回撤比：	-0.08
