datetime,SHFE.rb2003.open,SHFE.rb2003.high,SHFE.rb2003.low,SHFE.rb2003.close,SHFE.rb2003.volume,SHFE.rb2003.open_oi,SHFE.rb2003.close_oi
2019-03-18 21:00:00.000000000,3265.0,3265.0,3265.0,3265.0,0,98,98
2019-03-18 21:01:00.000000000,3265.0,3265.0,3265.0,3265.0,0,98,98
2019-03-18 21:02:00.000000000,3265.0,3265.0,3265.0,3265.0,0,98,98
2019-03-18 21:03:00.000000000,3265.0,3265.0,3265.0,3265.0,0,98,98
2019-03-18 21:04:00.000000000,3265.0,3265.0,3265.0,3265.0,0,98,98
2019-03-18 21:05:00.000000000,3265.0,3265.0,3265.0,3265.0,0,98,98
2019-03-18 21:06:00.000000000,3265.0,3265.0,3265.0,3265.0,0,98,98
2019-03-18 21:07:00.000000000,3265.0,3265.0,3265.0,3265.0,0,98,98
2019-03-18 21:08:00.000000000,3265.0,3265.0,3265.0,3265.0,0,98,98
2019-03-18 21:09:00.000000000,3265.0,3265.0,3265.0,3265.0,0,98,98
2019-03-18 21:10:00.000000000,3265.0,3265.0,3265.0,3265.0,0,98,98
2019-03-18 21:11:00.000000000,3265.0,3265.0,3265.0,3265.0,0,98,98
2019-03-18 21:12:00.000000000,3265.0,3265.0,3265.0,3265.0,0,98,98
2019-03-18 21:13:00.000000000,3265.0,3265.0,3265.0,3265.0,0,98,98
2019-03-18 21:14:00.000000000,3265.0,3265.0,3265.0,3265.0,0,98,98
2019-03-18 21:15:00.000000000,3265.0,3265.0,3265.0,3265.0,0,98,98
2019-03-18 21:16:00.000000000,3265.0,3265.0,3265.0,3265.0,0,98,98
2019-03-18 21:17:00.000000000,3265.0,3265.0,3265.0,3265.0,0,98,98
2019-03-18 21:18:00.000000000,3265.0,3265.0,3265.0,3265.0,0,98,98
2019-03-18 21:19:00.000000000,3274.0,3274.0,3274.0,3274.0,2,98,98
2019-03-18 21:20:00.000000000,3274.0,3274.0,3274.0,3274.0,0,98,98
2019-03-18 21:21:00.000000000,3274.0,3274.0,3274.0,3274.0,0,98,98
2019-03-18 21:22:00.000000000,3274.0,3274.0,3274.0,3274.0,0,98,98
2019-03-18 21:23:00.000000000,3274.0,3274.0,3274.0,3274.0,0,98,98
2019-03-18 21:24:00.000000000,3274.0,3274.0,3274.0,3274.0,0,98,98
2019-03-18 21:25:00.000000000,3274.0,3274.0,3274.0,3274.0,0,98,98
2019-03-18 21:26:00.000000000,3274.0,3274.0,3274.0,3274.0,0,98,98
2019-03-18 21:27:00.000000000,3274.0,3274.0,3274.0,3274.0,0,98,98
2019-03-18 21:28:00.000000000,3274.0,3274.0,3274.0,3274.0,0,98,98
2019-03-18 21:29:00.000000000,3274.0,3274.0,3274.0,3274.0,0,98,98
2019-03-18 21:30:00.000000000,3274.0,3274.0,3274.0,3274.0,0,98,98
2019-03-18 21:31:00.000000000,3274.0,3274.0,3274.0,3274.0,0,98,98
2019-03-18 21:32:00.000000000,3274.0,3274.0,3274.0,3274.0,0,98,98
2019-03-18 21:33:00.000000000,3274.0,3274.0,3274.0,3274.0,0,98,98
2019-03-18 21:34:00.000000000,3274.0,3274.0,3274.0,3274.0,0,98,98
2019-03-18 21:35:00.000000000,3274.0,3274.0,3274.0,3274.0,0,98,98
2019-03-18 21:36:00.000000000,3274.0,3274.0,3274.0,3274.0,0,98,98
2019-03-18 21:37:00.000000000,3274.0,3274.0,3274.0,3274.0,0,98,98
2019-03-18 21:38:00.000000000,3274.0,3274.0,3274.0,3274.0,0,98,98
2019-03-18 21:39:00.000000000,3274.0,3274.0,3274.0,3274.0,0,98,98
2019-03-18 21:40:00.000000000,3274.0,3274.0,3274.0,3274.0,0,98,98
2019-03-18 21:41:00.000000000,3274.0,3280.0,3274.0,3280.0,2,98,100
2019-03-18 21:42:00.000000000,3280.0,3280.0,3280.0,3280.0,0,100,100
2019-03-18 21:43:00.000000000,3280.0,3280.0,3280.0,3280.0,0,100,100
2019-03-18 21:44:00.000000000,3280.0,3280.0,3280.0,3280.0,0,100,100
2019-03-18 21:45:00.000000000,3280.0,3280.0,3280.0,3280.0,0,100,100
2019-03-18 21:46:00.000000000,3280.0,3280.0,3280.0,3280.0,0,100,100
2019-03-18 21:47:00.000000000,3280.0,3280.0,3280.0,3280.0,0,100,100
2019-03-18 21:48:00.000000000,3280.0,3280.0,3280.0,3280.0,0,100,100
2019-03-18 21:49:00.000000000,3280.0,3280.0,3280.0,3280.0,0,100,100
2019-03-18 21:50:00.000000000,3280.0,3280.0,3280.0,3280.0,0,100,100
2019-03-18 21:51:00.000000000,3280.0,3280.0,3280.0,3280.0,0,100,100
2019-03-18 21:52:00.000000000,3280.0,3280.0,3280.0,3280.0,0,100,100
2019-03-18 21:53:00.000000000,3280.0,3280.0,3280.0,3280.0,0,100,100
